,Country,New_cases,New_deaths,Death_percentage
0,South Africa,4072533,102595,2.52
1,Ethiopia,500633,7573,1.51
2,Réunion,494595,921,0.19
3,Zambia,343415,4057,1.18
4,Kenya,342983,5688,1.66
5,Botswana,329830,2795,0.85
6,Mauritius,297760,1044,0.35
7,Algeria,271592,6881,2.53
8,Nigeria,266665,3155,1.18
9,Zimbabwe,264555,5681,2.15
10,Mozambique,233334,2242,0.96
11,Ghana,171527,1462,0.85
12,Namibia,171222,4090,2.39
13,Uganda,170510,3632,2.13
14,Rwanda,133194,1468,1.1
15,Cameroon,124834,1970,1.58
16,Angola,105331,1934,1.84
17,Democratic Republic of the Congo,95944,1464,1.53
18,Senegal,88978,1971,2.22
19,Malawi,88616,2686,3.03
20,Côte d’Ivoire,88303,834,0.94
21,Eswatini,74323,1425,1.92
22,Madagascar,68049,1424,2.09
23,Mauritania,63515,997,1.57
24,Cabo Verde,63260,413,0.65
25,Burundi,53706,15,0.03
26,Seychelles,50937,172,0.34
27,Gabon,48981,306,0.62
28,United Republic of Tanzania,42959,846,1.97
29,Mayotte,42008,187,0.45
30,Togo,39450,290,0.74
31,Guinea,38280,467,1.22
32,Lesotho,34490,706,2.05
33,Mali,33117,743,2.24
34,Benin,27999,163,0.58
35,Congo,25175,389,1.55
36,Burkina Faso,22056,396,1.8
37,South Sudan,18368,138,0.75
38,Equatorial Guinea,17130,183,1.07
39,Central African Republic,15367,113,0.74
40,Gambia,12598,372,2.95
41,Eritrea,10189,103,1.01
42,Niger,9513,315,3.31
43,Guinea-Bissau,9350,176,1.88
44,Comoros,9089,160,1.76
45,Liberia,8090,294,3.63
46,Sierra Leone,7762,125,1.61
47,Chad,7695,194,2.52
48,Sao Tome and Principe,6500,79,1.22
49,"Saint Helena, Ascension and Tristan da Cunha",2166,0,0.0
